Threads,Tasks,Total Iterations,Mean Time,Median Time,Timing 1,Timing 2,Timing 3,Timing 4,Timing 5,Timing 6,Timing 7,Timing 8,Timing 9,Timing 10,Timing 11,Timing 12,Timing 13,Timing 14,Timing 15,Timing 16,Timing 17,Timing 18,Timing 19,Timing 20,Timing 21,Timing 22,Timing 23,Timing 24,Timing 25,Timing 26,Timing 27,Timing 28,Timing 29,Timing 30,Timing 31,Timing 32,Timing 33,Timing 34,Timing 35,Timing 36,Timing 37,Timing 38,Timing 39,Timing 40,Timing 41,Timing 42,Timing 43,Timing 44,Timing 45,Timing 46,Timing 47,Timing 48,Timing 49,Timing 50,Timing 51,Timing 52,Timing 53,Timing 54,Timing 55,Timing 56,Timing 57,Timing 58,Timing 59,Timing 60,Timing 61,Timing 62,Timing 63,Timing 64,Timing 65,Timing 66,Timing 67,Timing 68,Timing 69,Timing 70,Timing 71,Timing 72,Timing 73,Timing 74,Timing 75,Timing 76,Timing 77,Timing 78,Timing 79,Timing 80,Timing 81,Timing 82,Timing 83,Timing 84,Timing 85,Timing 86,Timing 87,Timing 88,Timing 89,Timing 90,Timing 91,Timing 92,Timing 93,Timing 94,Timing 95,Timing 96,Timing 97,Timing 98,Timing 99,Timing 100
1,1000,1000000000,2.521396484375,2.5175650119781494,2.5205488204956055,2.5246939659118652,2.5925705432891846,2.5322189331054688,2.5540859699249268,2.5405113697052,2.51705265045166,2.5221219062805176,2.5205373764038086,2.5172243118286133,2.527815341949463,2.5165388584136963,2.517746686935425,2.516221761703491,2.536142110824585,2.525512218475342,2.5150504112243652,2.5275163650512695,2.5185742378234863,2.5161421298980713,2.514531373977661,2.5156068801879883,2.5181870460510254,2.5293383598327637,2.5177876949310303,2.5173137187957764,2.521995782852173,2.516367197036743,2.5239453315734863,2.5173540115356445,2.516033411026001,2.5150346755981445,2.525817394256592,2.5158843994140625,2.5146374702453613,2.5291624069213867,2.518287420272827,2.512990713119507,2.5156633853912354,2.512977361679077,2.5203680992126465,2.513404369354248,2.514528274536133,2.5206875801086426,2.5144011974334717,2.5178720951080322,2.514777183532715,2.5186655521392822,2.5231566429138184,2.5210282802581787,2.517730712890625,2.5125226974487305,2.522536277770996,2.512420892715454,2.5140693187713623,2.5157787799835205,2.5123982429504395,2.5168542861938477,2.5140676498413086,2.5192673206329346,2.514286756515503,2.513782024383545,2.5153160095214844,2.515002965927124,2.5158207416534424,2.5173192024230957,2.523930072784424,2.524674892425537,2.513193130493164,2.524365186691284,2.5231664180755615,2.550826072692871,2.535872220993042,2.524512767791748,2.5359623432159424,2.5175650119781494,2.5139307975769043,2.52648663520813,2.5156478881835938,2.528083562850952,2.513672351837158,2.51469349861145,2.5166172981262207,2.5195319652557373,2.5182526111602783,2.5180857181549072,2.5144548416137695,2.5160112380981445,2.5165834426879883,2.5647363662719727,2.54388165473938,2.5378026962280273,2.5249931812286377,2.515659809112549,2.51629900932312,2.5136001110076904,2.5132007598876953,2.5131208896636963,2.5166513919830322,2.517777442932129
2,1000,1000000000,1.278732841014862,1.2750306129455566,1.338942289352417,1.2928886413574219,1.295440912246704,1.299393653869629,1.293769359588623,1.2756354808807373,1.2825555801391602,1.2872028350830078,1.2846624851226807,1.2770445346832275,1.3163776397705078,1.2744905948638916,1.274487018585205,1.273787021636963,1.2629570960998535,1.264786958694458,1.279106616973877,1.278843879699707,1.2737798690795898,1.273148775100708,1.3074862957000732,1.2822623252868652,1.2637569904327393,1.2705979347229004,1.30910325050354,1.286238193511963,1.2802529335021973,1.2693445682525635,1.2790818214416504,1.2915866374969482,1.309253215789795,1.2738850116729736,1.2880170345306396,1.2671449184417725,1.2917191982269287,1.277916431427002,1.274061918258667,1.2873344421386719,1.280486822128296,1.2763028144836426,1.3036272525787354,1.283677577972412,1.2805850505828857,1.3212406635284424,1.2787723541259766,1.2769601345062256,1.2823517322540283,1.2750306129455566,1.2647960186004639,1.2700872421264648,1.2860512733459473,1.284367322921753,1.306098461151123,1.2605857849121094,1.2708358764648438,1.2644751071929932,1.2710838317871094,1.2769291400909424,1.285717487335205,1.2619154453277588,1.263535737991333,1.295161247253418,1.275491714477539,1.3142921924591064,1.2669298648834229,1.262115240097046,1.2640409469604492,1.2609927654266357,1.28485107421875,1.2747480869293213,1.2861568927764893,1.2646763324737549,1.2642147541046143,1.2724981307983398,1.2744457721710205,1.2896387577056885,1.2832863330841064,1.2667760848999023,1.2677607536315918,1.2719738483428955,1.2666964530944824,1.3097865581512451,1.265648603439331,1.264073371887207,1.269021987915039,1.2653427124023438,1.2688801288604736,1.260605812072754,1.261031150817871,1.2876594066619873,1.2641127109527588,1.2902982234954834,1.2687592506408691,1.263798475265503,1.271301031112671,1.2655365467071533,1.2641704082489014,1.2632973194122314,1.2659802436828613,1.2633748054504395
3,1000,1000000000,0.8551508545875549,0.8538806438446045,0.8568224906921387,0.8486447334289551,0.8631527423858643,0.8452560901641846,0.8451213836669922,0.8574230670928955,0.8620791435241699,0.8446717262268066,0.8454647064208984,0.8554511070251465,0.8501732349395752,0.863236665725708,0.8582983016967773,0.8459630012512207,0.8469629287719727,0.8517513275146484,0.8477888107299805,0.847872257232666,0.86222243309021,0.8543176651000977,0.8467583656311035,0.8594064712524414,0.8547203540802002,0.8575093746185303,0.8476171493530273,0.8755044937133789,0.8639016151428223,0.8561689853668213,0.8533463478088379,0.8749382495880127,0.843761682510376,0.8616604804992676,0.8513758182525635,0.8538806438446045,0.8635940551757812,0.8476834297180176,0.8466260433197021,0.8497405052185059,0.8519337177276611,0.8623690605163574,0.8480722904205322,0.8562357425689697,0.8483617305755615,0.8580386638641357,0.8512961864471436,0.8480160236358643,0.8572704792022705,0.8696208000183105,0.8450863361358643,0.8639316558837891,0.8604984283447266,0.8455014228820801,0.848945140838623,0.8571064472198486,0.8502407073974609,0.8680734634399414,0.8653035163879395,0.848966121673584,0.850123405456543,0.8467493057250977,0.8558046817779541,0.8643758296966553,0.862321138381958,0.8519814014434814,0.8577096462249756,0.8474457263946533,0.8502054214477539,0.8583786487579346,0.8523390293121338,0.8495957851409912,0.8495361804962158,0.8666253089904785,0.8660492897033691,0.851301908493042,0.8711216449737549,0.8590731620788574,0.8601157665252686,0.857062816619873,0.8497164249420166,0.8500497341156006,0.8478114604949951,0.8477396965026855,0.8537490367889404,0.8632192611694336,0.8518795967102051,0.8508744239807129,0.8631718158721924,0.854008674621582,0.8476622104644775,0.8572831153869629,0.8547670841217041,0.8569674491882324,0.8505280017852783,0.8707675933837891,0.8576467037200928,0.8497269153594971,0.8511366844177246,0.847236156463623,0.8840982913970947,0.8613932132720947
4,1000,1000000000,0.6516975450515747,0.6523728370666504,0.6452522277832031,0.6448016166687012,0.6529660224914551,0.6593742370605469,0.6492099761962891,0.6523728370666504,0.6592566967010498,0.6567850112915039,0.6530098915100098,0.6498386859893799,0.656975507736206,0.6470775604248047,0.6451327800750732,0.6519253253936768,0.6495285034179688,0.6456360816955566,0.6570906639099121,0.6531925201416016,0.6488707065582275,0.6527559757232666,0.6603360176086426,0.6506731510162354,0.6534349918365479,0.6417245864868164,0.6511156558990479,0.656343936920166,0.6586902141571045,0.6597499847412109,0.6453862190246582,0.6527397632598877,0.6473689079284668,0.6587145328521729,0.6502037048339844,0.6475389003753662,0.6550934314727783,0.6547789573669434,0.6520035266876221,0.6557588577270508,0.6532986164093018,0.6533768177032471,0.6599252223968506,0.6536729335784912,0.6562769412994385,0.6579239368438721,0.6530478000640869,0.6549699306488037,0.6547231674194336,0.6470084190368652,0.6556434631347656,0.6482954025268555,0.6553890705108643,0.6462357044219971,0.6529502868652344,0.6468877792358398,0.6579368114471436,0.6428227424621582,0.6524984836578369,0.6448040008544922,0.6503136157989502,0.6571505069732666,0.6483290195465088,0.646038293838501,0.6569983959197998,0.6555266380310059,0.6529273986816406,0.6481819152832031,0.653853178024292,0.6587967872619629,0.6544747352600098,0.650254487991333,0.6570529937744141,0.6476359367370605,0.6474204063415527,0.6475229263305664,0.6537933349609375,0.6523165702819824,0.6449775695800781,0.6455886363983154,0.6431849002838135,0.6560790538787842,0.650670051574707,0.6535825729370117,0.6590352058410645,0.659327507019043,0.6415791511535645,0.647864580154419,0.6487002372741699,0.659318208694458,0.6556925773620605,0.6423590183258057,0.647153377532959,0.6520111560821533,0.6474912166595459,0.6495137214660645,0.6484024524688721,0.6496679782867432,0.651914119720459,0.6483988761901855,0.6444454193115234,0.6538140773773193
5,1000,1000000000,0.5293971347808838,0.5290110111236572,0.5271227359771729,0.5257205963134766,0.5292937755584717,0.5252747535705566,0.5245981216430664,0.5270497798919678,0.5277705192565918,0.5228979587554932,0.5246555805206299,0.5238525867462158,0.5308945178985596,0.52001953125,0.5217256546020508,0.5242092609405518,0.5271282196044922,0.524224042892456,0.5226073265075684,0.53029465675354,0.5254285335540771,0.5323622226715088,0.5261297225952148,0.5241813659667969,0.5244858264923096,0.5363507270812988,0.5323514938354492,0.5305135250091553,0.5278656482696533,0.5288264751434326,0.5264477729797363,0.5324361324310303,0.5298213958740234,0.5268702507019043,0.5300543308258057,0.5358626842498779,0.523078441619873,0.5290110111236572,0.5343012809753418,0.5320174694061279,0.5378131866455078,0.5290379524230957,0.5307197570800781,0.5334060192108154,0.5294713973999023,0.5242612361907959,0.5330166816711426,0.5240190029144287,0.5322015285491943,0.5315272808074951,0.5238840579986572,0.5282771587371826,0.5274732112884521,0.5320627689361572,0.5252630710601807,0.5338606834411621,0.526747465133667,0.5252861976623535,0.5315241813659668,0.5284585952758789,0.5288729667663574,0.5243608951568604,0.5343992710113525,0.5313804149627686,0.5328736305236816,0.5309035778045654,0.5347452163696289,0.5279419422149658,0.5284256935119629,0.5269250869750977,0.5301604270935059,0.5346822738647461,0.5270123481750488,0.5356960296630859,0.5272789001464844,0.5288584232330322,0.5299596786499023,0.5329551696777344,0.5381042957305908,0.5324010848999023,0.5328793525695801,0.5287067890167236,0.5287530422210693,0.5383780002593994,0.532541036605835,0.531834602355957,0.5274219512939453,0.5234549045562744,0.5280964374542236,0.5274989604949951,0.5305647850036621,0.5269505977630615,0.5372965335845947,0.5328528881072998,0.5409440994262695,0.5313441753387451,0.5277261734008789,0.5302164554595947,0.5363669395446777,0.5282456874847412,0.531822919845581,0.5318324565887451
6,1000,1000000000,0.44553786754608155,0.44530320167541504,0.4517664909362793,0.44487881660461426,0.4478285312652588,0.44611430168151855,0.444840669631958,0.44883298873901367,0.4442563056945801,0.4407308101654053,0.4497215747833252,0.4448235034942627,0.44594526290893555,0.44286608695983887,0.4480016231536865,0.4447617530822754,0.4461846351623535,0.45131826400756836,0.4497873783111572,0.44472432136535645,0.4414083957672119,0.4479703903198242,0.44547200202941895,0.4471166133880615,0.4494311809539795,0.446519136428833,0.44646310806274414,0.448380708694458,0.4452362060546875,0.4410567283630371,0.4468207359313965,0.4491145610809326,0.4435868263244629,0.44583606719970703,0.4492301940917969,0.4448997974395752,0.4432406425476074,0.4479939937591553,0.4471430778503418,0.454120397567749,0.44827866554260254,0.446918249130249,0.45242738723754883,0.449446439743042,0.4456746578216553,0.4432828426361084,0.4464426040649414,0.44580507278442383,0.4512643814086914,0.4411783218383789,0.4461348056793213,0.4434995651245117,0.4432337284088135,0.44530320167541504,0.4433712959289551,0.44316697120666504,0.4477980136871338,0.44508886337280273,0.44243526458740234,0.44466710090637207,0.4431116580963135,0.44713544845581055,0.441439151763916,0.4445493221282959,0.4437854290008545,0.45322203636169434,0.44860315322875977,0.4462096691131592,0.4482460021972656,0.44132280349731445,0.442258358001709,0.4412841796875,0.44601941108703613,0.4426431655883789,0.44455790519714355,0.44612598419189453,0.44280290603637695,0.44541049003601074,0.44425129890441895,0.44213151931762695,0.4459869861602783,0.4393625259399414,0.4429154396057129,0.4434823989868164,0.43979883193969727,0.44329214096069336,0.4442577362060547,0.4465501308441162,0.4414827823638916,0.4494438171386719,0.44527173042297363,0.44596385955810547,0.44206809997558594,0.4524495601654053,0.44307422637939453,0.4438967704772949,0.4454231262207031,0.4458329677581787,0.44426774978637695,0.4427042007446289,0.44383859634399414,0.44347167015075684
7,1000,1000000000,0.38353007078170775,0.3835940361022949,0.38698887825012207,0.38408756256103516,0.38617825508117676,0.38056325912475586,0.387744665145874,0.3857755661010742,0.3860046863555908,0.38284826278686523,0.3822360038757324,0.3814549446105957,0.38362717628479004,0.38736438751220703,0.37920069694519043,0.3842906951904297,0.3849813938140869,0.3801853656768799,0.3831169605255127,0.3799004554748535,0.38239216804504395,0.3839097023010254,0.38395261764526367,0.38387203216552734,0.38422513008117676,0.38413047790527344,0.38517141342163086,0.38156628608703613,0.3824269771575928,0.3817257881164551,0.38505101203918457,0.3858766555786133,0.38321757316589355,0.3837909698486328,0.38242387771606445,0.38425612449645996,0.384171724319458,0.3843536376953125,0.38251352310180664,0.3833296298980713,0.38376522064208984,0.38322925567626953,0.3843190670013428,0.38240838050842285,0.38196229934692383,0.3853325843811035,0.383303165435791,0.3828914165496826,0.3845860958099365,0.3801112174987793,0.3829004764556885,0.38396644592285156,0.38504624366760254,0.38443636894226074,0.37950658798217773,0.384793758392334,0.38180971145629883,0.38329195976257324,0.38452863693237305,0.3829987049102783,0.38532185554504395,0.37957191467285156,0.3860163688659668,0.3833732604980469,0.3851168155670166,0.38356709480285645,0.38558268547058105,0.3813343048095703,0.3816385269165039,0.38314342498779297,0.3826580047607422,0.3820981979370117,0.38553571701049805,0.38220977783203125,0.3865988254547119,0.38040852546691895,0.38404273986816406,0.3835940361022949,0.38567256927490234,0.3814826011657715,0.3806116580963135,0.383533239364624,0.38247203826904297,0.38747310638427734,0.3837308883666992,0.38745713233947754,0.3824787139892578,0.38442397117614746,0.3811337947845459,0.3852517604827881,0.3823251724243164,0.3840823173522949,0.383913516998291,0.3814046382904053,0.3868703842163086,0.38339900970458984,0.3821685314178467,0.3831210136413574,0.38343167304992676,0.38378167152404785,0.383955717086792,0.38292574882507324
8,1000,1000000000,0.3397756886482239,0.3390388488769531,0.3428516387939453,0.33863401412963867,0.3390388488769531,0.3407273292541504,0.3390321731567383,0.33739662170410156,0.33826613426208496,0.33895111083984375,0.3384089469909668,0.3391153812408447,0.34091639518737793,0.3387775421142578,0.34128761291503906,0.3404855728149414,0.3405287265777588,0.34523677825927734,0.3424084186553955,0.3429098129272461,0.35606956481933594,0.35567164421081543,0.3396940231323242,0.338240385055542,0.3435649871826172,0.3422088623046875,0.34256935119628906,0.3430466651916504,0.34095215797424316,0.338118314743042,0.3378627300262451,0.33585524559020996,0.3403341770172119,0.340853214263916,0.33948731422424316,0.3416297435760498,0.33707237243652344,0.3428051471710205,0.3409690856933594,0.3408091068267822,0.3395817279815674,0.33742475509643555,0.3398399353027344,0.3379693031311035,0.33720922470092773,0.33831095695495605,0.34189820289611816,0.33884263038635254,0.33790063858032227,0.3372786045074463,0.33727574348449707,0.3386392593383789,0.3394017219543457,0.33977746963500977,0.3404412269592285,0.33852481842041016,0.33778905868530273,0.3386085033416748,0.3381783962249756,0.3403196334838867,0.3398101329803467,0.33832478523254395,0.3420135974884033,0.3388862609863281,0.33884620666503906,0.3370938301086426,0.34049320220947266,0.3378739356994629,0.3371412754058838,0.3381054401397705,0.3414032459259033,0.34088635444641113,0.3387434482574463,0.33954811096191406,0.3388984203338623,0.33786988258361816,0.33791160583496094,0.3399074077606201,0.34109950065612793,0.33758544921875,0.33718109130859375,0.33779287338256836,0.3393855094909668,0.3393590450286865,0.3378143310546875,0.3387582302093506,0.3376584053039551,0.3389744758605957,0.33864569664001465,0.33962392807006836,0.3394904136657715,0.34171438217163086,0.3401467800140381,0.33908891677856445,0.33843064308166504,0.34359073638916016,0.33626890182495117,0.33854103088378906,0.33902716636657715,0.3378584384918213,0.33809494972229004,0.33968186378479004
9,1000,1000000000,0.30395259857177737,0.3040001392364502,0.30565476417541504,0.3040001392364502,0.3040285110473633,0.3041362762451172,0.3031740188598633,0.3046877384185791,0.3050558567047119,0.3047671318054199,0.30419206619262695,0.303786039352417,0.3022005558013916,0.3045496940612793,0.3038785457611084,0.30296897888183594,0.30336856842041016,0.3045814037322998,0.30332374572753906,0.30347490310668945,0.3028271198272705,0.3047611713409424,0.3038640022277832,0.3047373294830322,0.3044469356536865,0.30441927909851074,0.30520200729370117,0.30519533157348633,0.3043215274810791,0.3053305149078369,0.30455827713012695,0.3042113780975342,0.3035402297973633,0.30408430099487305,0.30267786979675293,0.3038210868835449,0.3030538558959961,0.3024475574493408,0.3040657043457031,0.30323219299316406,0.30514073371887207,0.30330467224121094,0.30405449867248535,0.30408501625061035,0.3040337562561035,0.3034193515777588,0.30405259132385254,0.3062570095062256,0.30384397506713867,0.3043506145477295,0.303483247756958,0.30213260650634766,0.3027317523956299,0.3048837184906006,0.3039588928222656,0.3032538890838623,0.30351829528808594,0.3036792278289795,0.30344104766845703,0.3033721446990967,0.3046097755432129,0.3030836582183838,0.3027369976043701,0.30368781089782715,0.3044419288635254,0.30376338958740234,0.30588793754577637,0.3038058280944824,0.30438733100891113,0.30339598655700684,0.3030099868774414,0.3020164966583252,0.30435705184936523,0.30399250984191895,0.30309486389160156,0.3025679588317871,0.3034393787384033,0.30381226539611816,0.305438756942749,0.30585503578186035,0.3033580780029297,0.30468249320983887,0.3041813373565674,0.3025248050689697,0.30437207221984863,0.30303430557250977,0.30582404136657715,0.3052856922149658,0.30377626419067383,0.30460572242736816,0.3021373748779297,0.3044576644897461,0.30411529541015625,0.30200862884521484,0.3043019771575928,0.3049485683441162,0.3038961887359619,0.30315494537353516,0.3034698963165283,0.3048093318939209,0.304595947265625,0.30471062660217285
10,1000,1000000000,0.2759423828125,0.27587461471557617,0.2792246341705322,0.2762641906738281,0.27565813064575195,0.2757399082183838,0.27561426162719727,0.27700138092041016,0.27642822265625,0.2755405902862549,0.2765216827392578,0.2758467197418213,0.2733287811279297,0.27547192573547363,0.27513980865478516,0.2756378650665283,0.2758901119232178,0.2760353088378906,0.27790355682373047,0.2756540775299072,0.2762172222137451,0.27658748626708984,0.2757112979888916,0.2757148742675781,0.27622532844543457,0.27539920806884766,0.2757120132446289,0.2765507698059082,0.274705171585083,0.2760813236236572,0.2748847007751465,0.27575230598449707,0.2762141227722168,0.2758505344390869,0.2754042148590088,0.276608943939209,0.2757134437561035,0.27524471282958984,0.27648162841796875,0.27553892135620117,0.2745206356048584,0.27564454078674316,0.27602696418762207,0.27635622024536133,0.27544188499450684,0.27470898628234863,0.276508092880249,0.27632808685302734,0.2761852741241455,0.27555251121520996,0.27565646171569824,0.2769968509674072,0.2780735492706299,0.27593183517456055,0.2756023406982422,0.2760934829711914,0.2766153812408447,0.27705955505371094,0.2758808135986328,0.275562047958374,0.27547597885131836,0.27558302879333496,0.27757740020751953,0.27641725540161133,0.277118444442749,0.27692222595214844,0.2759068012237549,0.27649760246276855,0.2764616012573242,0.27455806732177734,0.27564001083374023,0.274857759475708,0.2757694721221924,0.2757091522216797,0.2757833003997803,0.2759261131286621,0.27595949172973633,0.2743504047393799,0.2760019302368164,0.2752993106842041,0.275601863861084,0.2757148742675781,0.27571773529052734,0.27628469467163086,0.2750988006591797,0.27628660202026367,0.27480220794677734,0.2765231132507324,0.27594566345214844,0.27587461471557617,0.27611398696899414,0.27640843391418457,0.2753455638885498,0.27526354789733887,0.2758138179779053,0.27679967880249023,0.2770218849182129,0.2757689952850342,0.27607035636901855,0.27632737159729004,0.27598118782043457,0.27541303634643555
